TotalT,Temp,LSR,CA,Size,IsoT,F_X,Yield Lvls
14.78996492,433.15,6,0,0.595,14.78996492,15.1,1
4.017857143,513.15,40,0,5,4.017857143,23.78409091,1
16.27791829,408.15,8,0.101967982,8,2.527918291,18.86363636,3
55.88235294,433.15,6,0,22.5,40,20,1
28.60330325,388.15,8,0.305903946,8,17.35330325,18.86363636,3
17,458.15,10,0.076468969,1,7,18.75,3
88.60161414,408.15,8,0.203935964,8,74.85161414,18.86363636,2
33.73505604,408.15,8,0.203935964,8,19.98505604,18.86363636,3
20.00769231,433.15,10,0.101958625,0.5,17.50769231,20.909,2
30,413.15,10,0.20261577,50,0,16.81818182,1
60,403.15,8,0.405231539,0.5,58.98256944,33.20454545,2
160,433.15,10,0,4,120,11.932,2
50,403.15,10,1.019586252,0.5,15,19.77272727,2
45,475.15,8,0,8,26.62395833,26.36363636,3
105.2448106,388.15,8,0.203935964,8,93.99481063,18.86363636,3
186.3753213,433.15,7.69,0,5,36.37532134,17.84090909,1
53.75,448.15,10,0,8,35,18.86363636,1
20.37135743,453.15,40,0,5,20.37135743,23.78409091,1
80,396.15,8,0.607847309,0.5,79.05039815,33.20454545,2
44,425.15,20,0.061175175,0.42,44,15.45454545,2
38.61726059,408.15,8,0.203935964,8,24.86726059,18.86363636,3
402.2169534,373.65,8,0.305903946,8,392.7794534,18.86363636,3
87.28031038,373.65,8,0.101967982,8,77.84281038,18.86363636,3
0,453.15,19,0,0.42,0,12.95454545,1
349.7433769,373.65,8,0.305903946,8,340.3058769,18.86363636,3
59.61820366,388.15,8,0.203935964,8,48.36820366,18.86363636,3
1.533333333,463.15,3.9,0.1631338,0.38,1.2,21.93181818,2
114.321939,388.15,8,0.305903946,8,103.071939,18.86363636,3
73.36402266,448.15,20,0.101958625,0.5,28.36402266,16.99431818,3
14,448.15,10,0.076468969,1,7,18.75,1
4.992307692,433.15,10,0.407834501,0.5,2.492307692,20.909,2
15,448.15,9,0.152937938,0.84,11,16.59090909,3
232.2919486,388.15,8,0.407871928,8,221.0419486,18.86363636,2
17,468.15,10,0.076468969,1,7,18.75,3
100,403.15,8,0.405231539,0.5,98.95,33.20454545,2
42.98856053,408.15,8,0.203935964,8,29.23856053,18.86363636,3
47.6,403.15,5,0.405231539,4,47.6,16.375,2
90,403.15,5,0.690919774,4,90,16.375,2
110.0146133,433.15,6,0,5,88.92086331,15.02,2
12.94964029,433.15,9,0.101958625,0.84,8,16.59,3
482.8883481,373.65,8,0.407871928,8,473.4508481,18.86363636,3
78.75,448.15,8,0,8,60,18.86363636,2
80,473.15,8,8.51E-06,0.509,80,21.375,1
14,458.15,10,0.076468969,1,2,18.75,3
16.27772427,408.15,8,0.407871928,8,2.527724271,18.86363636,3
0.663333333,463.15,5,0.1631338,0.38,0.33,22.38636364,2
230.7516314,373.65,8,0.203935964,8,221.3141314,18.86363636,3
46.11640212,448.15,6,0,5,42.11640212,15.1,2
20,398.15,8,0.810463078,0.5,19.03101852,33.20454545,1
40,396.15,8,0.607847309,0.5,39.05039815,33.20454545,1
95.88235294,433.15,6,0,22.5,80,20,2
90,423.15,4.5,0.21725,4,90,17.2386,1
105.375,373.525,10,1.325462127,0.5,30,19.77272727,1
122.3984935,408.15,8,0.101967982,8,108.6484935,18.86363636,2
6,448.15,9,0.152937938,0.84,2,16.59090909,1
30,425.15,20,0.20391725,0.42,30,15.45454545,3
7,433.15,9,0.152937938,0.84,3,16.59090909,1
41.42857143,483.15,15,0,0.59,15,15,2
35.36009226,373.65,8,0.203935964,8,25.92259226,18.86363636,3
